City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Calbiga,PH,11.6247,125.0164,74.1,91,43,2.08,scattered clouds
253,Liverpool,GB,53.4106,-2.9779,54.28,69,40,4.61,scattered clouds
254,Orichi,RU,58.4036,49.0572,26.29,96,6,3.74,clear sky
255,Noumea,NC,-22.2763,166.4572,78.01,99,82,1.99,broken clouds
256,Abu Samrah,SY,35.3029,37.1841,79.39,19,100,9.51,overcast clouds
257,Badarpur,IN,24.9,92.6,73.22,92,66,0.89,broken clouds
258,Bulungu,CD,-4.55,18.6,78.4,73,66,0.18,broken clouds
259,Cayhagan,PH,9.6697,122.4256,78.53,80,3,7.78,clear sky
260,Cap Malheureux,MU,-19.9842,57.6142,79.47,87,55,3.0,broken clouds
261,Haimen,CN,23.1935,116.6142,64.29,82,100,9.15,overcast clouds
262,San Jose,US,37.3394,-121.895,67.48,47,75,4.61,broken clouds
263,Rio Gallegos,AR,-51.6226,-69.2181,51.42,57,100,20.54,overcast clouds
264,Laguna,US,38.421,-121.4238,66.78,56,0,9.22,clear sky
265,Derbent,RU,42.0678,48.2899,54.5,76,99,8.19,overcast clouds
266,Shieli,KZ,44.1667,66.75,71.91,38,100,6.76,overcast clouds
267,Farafangana,MG,-22.8167,47.8333,75.65,83,64,7.27,broken clouds
268,Avanigadda,IN,16.0215,80.9181,83.26,81,36,8.03,scattered clouds
269,Lesnoye,RU,58.2841,35.5158,33.6,96,18,2.73,few clouds
270,Tamale,GH,9.4008,-0.8393,88.52,48,100,8.72,overcast clouds
271,Puerto Madero,MX,14.7208,-92.4215,93.4,55,40,13.8,scattered clouds
272,Neuquen,AR,-38.9516,-68.0591,71.49,40,0,10.36,clear sky
273,Haines Junction,CA,60.7522,-137.5108,28.35,40,92,1.14,overcast clouds
274,Dustlik,UZ,40.5247,68.0358,68.41,47,100,13.94,overcast clouds
275,Charters Towers,AU,-20.1,146.2667,64.13,91,7,5.86,clear sky
276,Korla,CN,41.7597,86.1469,59.09,15,5,2.71,clear sky
277,Winnemucca,US,40.973,-117.7357,66.25,12,0,5.75,clear sky
278,Dingle,PH,10.9995,122.6711,76.82,85,25,9.42,scattered clouds
279,Erzurum,TR,40.0,41.5,47.88,64,100,5.88,overcast clouds
280,Constantine,DZ,36.365,6.6147,60.21,51,0,5.75,clear sky
281,Husavik,IS,66.0449,-17.3389,35.35,97,100,9.46,overcast clouds
282,Isla Del Bosque,MX,22.7333,-105.85,82.49,49,99,11.14,overcast clouds
283,Saint-Georges,GD,12.0564,-61.7485,82.08,74,75,24.16,broken clouds
284,Verkhnevilyuysk,RU,63.4453,120.3167,24.62,95,100,10.04,light snow
285,Siguiri,GN,11.6667,-9.5,94.46,25,100,1.3,overcast clouds
286,Tatui,BR,-23.3556,-47.8569,69.98,67,85,13.85,overcast clouds
287,Zavetnoye,RU,47.1194,43.8903,55.99,58,8,19.77,clear sky
288,Hudson Bay,CA,52.85,-102.3842,34.39,80,93,7.18,overcast clouds
289,Sitka,US,57.0531,-135.33,44.49,49,40,3.44,scattered clouds
290,Bam,IR,29.106,58.357,64.94,36,0,1.23,clear sky
291,Rio Grande,BR,-32.035,-52.0986,77.11,65,62,12.24,broken clouds
292,Krasnoselkup,RU,65.7,82.4667,27.97,95,100,22.62,light snow
293,Nantucket,US,41.2835,-70.0995,51.94,62,0,12.66,clear sky
294,Pisco,PE,-13.7,-76.2167,68.05,73,0,9.22,clear sky
295,Ust-Tsilma,RU,65.441,52.1498,32.25,98,100,4.85,overcast clouds
296,Cuamba,MZ,-14.8031,36.5372,68.59,86,10,3.91,clear sky
297,Te Anau,NZ,-45.4167,167.7167,52.66,91,100,2.95,overcast clouds
298,Chatra,IN,24.2167,84.8667,79.84,12,0,7.58,clear sky
299,La Macarena,CO,2.1837,-73.7849,82.35,70,100,3.83,overcast clouds
300,Sao Filipe,CV,14.8961,-24.4956,72.5,75,79,11.81,broken clouds
301,Livingston,GB,55.9029,-3.5226,52.11,52,20,9.22,few clouds
302,Narsaq,GL,60.9167,-46.05,43.02,49,100,4.99,overcast clouds
303,Tateyama,JP,34.9833,139.8667,54.1,85,100,10.51,overcast clouds
304,Corinto,GR,37.9407,22.9573,52.9,87,100,4.92,overcast clouds
305,Borovoy,RU,55.4333,86.0833,36.68,55,0,13.42,light rain
306,Anqiu,CN,36.4342,119.1925,52.32,38,0,4.47,clear sky
307,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,43.93,48,89,4.32,overcast clouds
308,Walvis Bay,NA,-22.9575,14.5053,67.15,68,30,8.05,scattered clouds
309,Chernyshkovskiy,RU,48.4219,42.2308,62.65,60,100,14.7,light rain
310,Rorvik,NO,64.8621,11.2373,55.51,58,0,8.05,clear sky
311,Tambopata,PE,-12.7333,-69.1833,87.69,45,0,5.75,clear sky
312,Aban,RU,56.67,96.06,28.38,78,100,7.11,overcast clouds
313,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.47,41,0,3.96,clear sky
314,Katangli,RU,51.7102,143.2326,19.69,99,85,5.66,overcast clouds
315,Belchatow,PL,51.3688,19.3567,49.05,52,100,5.77,overcast clouds
316,Mount Isa,AU,-20.7333,139.5,62.37,48,0,0.0,clear sky
317,Tucuma,BR,-0.1833,-50.05,82.4,71,18,2.26,light rain
318,Nushki,PK,29.5542,66.0215,71.87,41,100,11.54,overcast clouds
319,Pascagoula,US,30.3658,-88.5561,75.42,73,75,13.8,broken clouds
320,Bucerias,MX,20.75,-105.3333,82.38,57,0,8.05,clear sky
321,Lagoa,PT,39.05,-27.9833,58.26,71,8,16.33,clear sky
322,Nueva Gerona,CU,21.8833,-82.8,85.01,50,1,5.12,clear sky
323,Puerto Quijarro,BO,-17.7833,-57.7667,93.51,27,0,3.94,clear sky
324,Port Hardy,CA,50.6996,-127.4199,42.8,93,100,18.41,light rain
325,Marawi,PH,7.9986,124.2928,69.75,97,96,1.57,overcast clouds
326,Kamina,CD,-8.7386,24.9906,67.26,88,66,3.38,broken clouds
327,Hirara,JP,24.8,125.2833,71.62,85,100,20.51,overcast clouds
328,Kabansk,RU,52.0486,106.6528,45.59,75,59,6.13,broken clouds
329,Pevek,RU,69.7008,170.3133,9.55,94,100,5.01,overcast clouds
330,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,75,17.27,broken clouds
331,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,12.66,broken clouds
332,Kanigiri,IN,15.4,79.5167,84.49,66,14,6.2,few clouds
333,Nome,US,64.5011,-165.4064,33.87,69,100,19.57,overcast clouds
334,Bakchar,RU,57.0186,82.0711,28.76,74,0,3.18,clear sky
335,Sultanpur,IN,26.2667,82.0667,88.83,9,0,3.87,clear sky
336,Mount Gambier,AU,-37.8333,140.7667,49.91,87,75,5.75,broken clouds
337,San Patricio,US,28.017,-97.5169,89.17,42,25,13.62,scattered clouds
338,Portales,US,34.1862,-103.3344,65.93,34,89,5.99,overcast clouds
339,Plettenberg Bay,ZA,-34.0527,23.3716,61.52,91,12,4.74,few clouds
340,Prado,BR,-17.3411,-39.2208,79.95,61,58,11.86,broken clouds
341,Cherskiy,RU,68.75,161.3,16.18,95,100,3.0,overcast clouds
342,Santiago De Chuco,PE,-8.15,-78.1833,61.48,62,90,5.32,light rain
